"#datatype","string","long","dateTime:RFC3339","dateTime:RFC3339","dateTime:RFC3339","double"
"#group","false","false","false","true","true","false"
"#default","_result","","","","",""
"","","0","2025-05-31T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.220833333333292"
"","","0","2025-05-31T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.741388888888846"
"","","0","2025-05-31T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.842499999999994"
"","","0","2025-05-31T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.703611111111044"
"","","0","2025-05-31T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.464601769911415"
"","","0","2025-05-31T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.065789473684088"
"","","0","2025-05-31T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.48806179775282"
"","","0","2025-05-31T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.97537757437075"
"","","0","2025-05-31T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.404166666666683"
"","","0","2025-05-31T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.58444444444438"
"","","0","2025-05-31T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","25.2794444444445"
"","","0","2025-05-31T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","25.36166666666663"
"","","0","2025-05-31T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","25.82888888888887"
"","","0","2025-05-31T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","26.53111111111104"
"","","0","2025-05-31T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.80027777777787"
"","","0","2025-05-31T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.505833333333243"
"","","0","2025-05-31T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.894459833794873"
"","","0","2025-05-31T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.321666666666655"
"","","0","2025-05-31T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.291111111111064"
"","","0","2025-05-31T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.02722222222226"
"","","0","2025-06-01T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.921944444444364"
"","","0","2025-06-01T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.03277777777783"
"","","0","2025-06-01T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.16111111111115"
"","","0","2025-06-01T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.18027777777771"
"","","0","2025-06-01T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.49277777777782"
"","","0","2025-06-01T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.168611111111147"
"","","0","2025-06-01T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.824722222222203"
"","","0","2025-06-01T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.872222222222337"
"","","0","2025-06-01T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.3138121546961"
"","","0","2025-06-01T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.30666666666675"
"","","0","2025-06-01T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.598611111111165"
"","","0","2025-06-01T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.76138888888893"
"","","0","2025-06-01T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.426388888888848"
"","","0","2025-06-01T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.88388888888884"
"","","0","2025-06-01T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.762777777777792"
"","","0","2025-06-01T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.07666666666669"
"","","0","2025-06-01T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.639444444444525"
"","","0","2025-06-01T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.63611111111115"
"","","0","2025-06-01T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.182222222222148"
"","","0","2025-06-01T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.437222222222154"
"","","0","2025-06-01T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.083055555555475"
"","","0","2025-06-01T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.8266666666667"
"","","0","2025-06-01T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.097777777777768"
"","","0","2025-06-01T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.365833333333413"
"","","0","2025-06-02T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.415833333333467"
"","","0","2025-06-02T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.384722222222326"
"","","0","2025-06-02T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.971944444444436"
"","","0","2025-06-02T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.081388888888908"
"","","0","2025-06-02T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.222500000000004"
"","","0","2025-06-02T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.037222222222137"
"","","0","2025-06-02T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.34722222222228"
"","","0","2025-06-02T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.369166666666596"
"","","0","2025-06-02T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.5913888888889"
"","","0","2025-06-02T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.744722222222176"
"","","0","2025-06-02T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.418055555555537"
"","","0","2025-06-02T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.947222222222138"
"","","0","2025-06-02T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.86972222222218"
"","","0","2025-06-02T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.974166666666633"
"","","0","2025-06-02T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.499722222222147"
"","","0","2025-06-02T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.26959247648898"
"","","0","2025-06-02T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.740277777777827"
"","","0","2025-06-02T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.53277777777781"
"","","0","2025-06-02T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.70749999999996"
"","","0","2025-06-02T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.732441471571942"
"","","0","2025-06-02T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.702770083102514"
"","","0","2025-06-02T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.33472222222225"
"","","0","2025-06-02T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.442777777777769"
"","","0","2025-06-02T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.619722222222286"
"","","0","2025-06-03T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.539166666666675"
"","","0","2025-06-03T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.092777777777757"
"","","0","2025-06-03T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","11.318888888888827"
"","","0","2025-06-03T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","11.10944444444443"
"","","0","2025-06-03T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","10.806388888888975"
"","","0","2025-06-03T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","10.253055555555571"
"","","0","2025-06-03T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","11.2377777777778"
"","","0","2025-06-03T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.797222222222235"
"","","0","2025-06-03T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.478055555555503"
"","","0","2025-06-03T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.512777777777803"
"","","0","2025-06-03T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.944166666666625"
